Evansville,Evansville Regional,EVV,IN,Indiana,38.038333,-87.530833,www.flyevv.com
Fort Wayne,Fort Wayne International,FWA,IN,Indiana,40.978333,-85.195278,www.FlyFWA.com
Indianapolis International Airport,Indianapolis International Airport,IND,IN,Indiana,39.717222,-86.294444,Indianapolisairport.com
South Bend,South Bend International,SBN,IN,Indiana,41.708333,-86.317222,www.FlySBN.com
Cedar Rapids,The Eastern Iowa Airport,CID,IA,Iowa,41.884694,-91.710806,http://www.eiairport.org/
Des Moines,Des Moines International,DSM,IA,Iowa,41.533889,-93.663056,www.DSMairport.com
Wichita,Wichita Dwight D. Eisenhower National,ICT,KS,Kansas,37.65,-97.433056,flywichita.com
Lexington,Blue Grass Airport,LEX,KY,Kentucky,38.036389,-84.605833,bluegrassairport.com
Louisville,Louisville International,SDF,KY,Kentucky,38.174167,-85.736389,www.flylouisville.com
Baton Rouge,Baton Rouge Metropolitan,BTR,LA,Louisiana,30.532778,-91.15,www.flybtr.com
New Orleans International Airport,Louis Armstrong New Orleans International,MSY,LA,Louisiana,29.993333,-90.258056,flymsy.com
Shreveport,Shreveport Regional,SHV,LA,Louisiana,32.446667,-93.825556,flyshreveport.com
Bangor,Bangor International,BGR,ME,Maine,44.807222,-68.828056,www.flybangor.com
Portland,Portland International Jetport,PWM,ME,Maine,43.646111,-70.309167,www.portlandjetport.org
Baltimore,Baltimore/Washington International,BWI,MD,Maryland,39.175278,-76.668333,www.bwiairport.com
Boston,Logan International Airport,BOS,MA,Massachusetts,42.363056,-71.006389,www.massport.com/logan-airport/
Hyannis,Barnstable Municipal Airport,HYA,MA,Massachusetts,41.669444,-70.280278,www.town.barnstable.ma.us/
Nantucket,Nantucket Memorial,ACK,MA,Massachusetts,41.252889,-70.059,www.nantucketairport.com
Worcester,Worcester Regional,ORH,MA,Massachusetts,42.267222,-71.875833,www.massport.com/worcester-airport
Detroit,Detroit Metropolitan Wayne County,DTW,MI,Michigan,42.2125,-83.353333,www.metroairport.com
Flint,Bishop International,FNT,MI,Michigan,42.965556,-83.743611,www.bishopairport.org
Grand Rapids,Gerald R. Ford International,GRR,MI,Michigan,42.880833,-85.522778,www.flygrandrapids.org
Kalamazoo,Kalamazoo-Battle Creek International,AZO,MI,Michigan,42.235,-85.551944,www.azoairport.com
Lansing,Capital Region International,LAN,MI,Michigan,42.778639,-84.586194,www.flylansing.com
Saginaw,MBS International,MBS,MI,Michigan,43.532778,-84.079722,www.mbsairport.org
Duluth,Duluth International,DLH,MN,Minnesota,46.842222,-92.193611,www.DuluthAirport.com
Minneapolis/St.Paul,Minneapolis/St.Paul International,MSP,MN,Minnesota,44.881944,-93.221667,www.mspairport.com
Rochester,Rochester,RST,MN,Minnesota,43.908333,-92.5,www.flyrst.com
Gulfport,Gulfport-Biloxi International,GPT,MS,Mississippi,30.407222,-89.07,www.FlyGPT.com
Jackson,Jackson-Evers International,JAN,MS,Mississippi,32.311111,-90.075833,www.jmaa.com
Kansas City,Kansas City International,MCI,MO,Missouri,39.2975,-94.713889,FlyKCI.com
St Louis,Lambert International,STL,MO,Missouri,38.747222,-90.361389,http://www.flystl.com/
Springfield,Springfield-Branson National,SGF,MO,Missouri,,,http://www.flyspringfield.com
BIllings,Billings Logan International,BIL,MT,Montana,45.807778,-108.542778,FlyBillings.com
Bozeman,Bozeman Yellowstone International,BZN,MT,Montana,45.777,-111.152,BozemanAirport.com
Lincoln,Lincoln,LNK,NE,Nebraska,40.851111,-96.759167,www.lincolnairport.com
Omaha,Eppley Airfield,OMA,NE,Nebraska,41.3012,-95.8954,www.flyoma.com
Las Vegas,McCarran International Airport,LAS,NV,Nevada,36.08,-115.152222,mccarran.com
Reno,Reno-Tahoe International,RNO,NV,Nevada,39.499167,-119.768056,www.renoairport.com
Manchester,Manchester-Boston Regional,MHT,NH,New Hampshire,42.9325,-71.435556,www.flymanchester.com
Atlantic City,Atlantic City International,ACY,NJ,New Jersey,39.4575,-74.577222,http://www.sjta.com/acairport/
Newark,Newark Liberty International,EWR,NJ,New Jersey,40.6925,-74.168611,newarkairport.com
Trenton,Trenton-Mercer,TTN,NJ,New Jersey,40.276667,-74.813333,http://www.mercercounty.org/departments/transportation-and-infrastructure/trenton-mercer-airport
Albuquerque,Albuquerque International Sunport,ABQ,NM,New Mexico,35.039333,-106.610778,abqsunport.com
Farmington,Four Cornerns Regional,FMN,NM,New Mexico,36.741111,-108.23,http://www.fmtn.org/172/Airport
Santa Fe,Santa Fe Municipal,SAF,NM,New Mexico,35.617222,-106.089444,https://www.santafenm.gov/airport
Albany International Airport,Albany International,ALB,NY,New York,42.749167,-73.801944,www.albanyairport.com
Buffalo,Buffalo Niagara International,BUF,NY,New York,42.940556,-78.732222,www.buffaloairport.com
Islip,Long Island MacArthur,ISP,NY,New York,40.795278,-73.100278,MacArthurAirport.com
New York,John F Kennedy International Airport,JFK,NY,New York,40.639722,-73.778889,kennedyairport.com
New York,La Guardia Airport,LGA,NY,New York,40.77725,-73.872611,laguardiaairport.com
Newburgh,Stewart International,SWF,NY,New York,41.504167,-74.104722,panynj.gov/airports/stewart.html
Rochester,Greater Rochester International,ROC,NY,New York,43.118889,-77.6725,www.rocairport.com
Syracuse,Syracuse Hancock International,SYR,NY,New York,43.111111,-76.106389,flysyracuse.com
Westchester,Westchester County,HPN,NY,New York,41.066944,-73.7075,airport.WestchesterGov.com
